scenario,seed,target_id,target_type,spawn_time,detection_time,detection_delay,assigned_uav,assignment_time,tracking_start,tracking_end,tracking_duration,loss_events,reacq_events,handover_events,localization_errors,avg_loc_error,tracking_accuracy,final_status,state_changes
Static Only,256,4,static,0.2,24.60000000000008,24.40000000000008,7,24.60000000000008,24.70000000000008,32.700000000000195,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,256,5,static,0.2,0.2,0.0,2,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,256,6,static,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Static Only,256,7,static,0.2,35.30000000000023,35.10000000000023,3,35.30000000000023,35.40000000000023,43.40000000000035,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,999,0,static,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Static Only,999,1,static,0.2,20.000000000000014,19.800000000000015,5,20.000000000000014,20.100000000000016,28.10000000000013,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,999,2,static,0.2,55.00000000000051,54.80000000000051,1,55.00000000000051,55.10000000000051,63.10000000000063,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,999,3,static,0.2,19.200000000000003,19.000000000000004,6,19.200000000000003,19.300000000000004,27.300000000000118,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,999,4,static,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Static Only,999,5,static,0.2,8.799999999999985,8.599999999999985,4,8.799999999999985,8.899999999999984,16.99999999999997,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,999,6,static,0.2,0.2,0.0,7,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,999,7,static,0.2,37.40000000000026,37.20000000000026,0,37.40000000000026,37.50000000000026,45.50000000000038,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,42,0,dynamic,0.2,21.80000000000004,21.60000000000004,2,21.80000000000004,21.90000000000004,68.90000000000036,47.00000000000032,1,1,0,0.0000,0.0,0.043010752688172046,completed,0
